"status","contents__totalCount","contents__items__type","contents__items__id","contents__items__name","contents__items__shareUrl","contents__items__durationMs","contents__items__durationText","contents__items__discNumber","contents__items__trackNumber","contents__items__playCount","contents__items__artists__type","contents__items__artists__id","contents__items__artists__name","contents__items__artists__shareUrl","contents__items__album__type","contents__items__album__id","contents__items__album__name","contents__items__album__shareUrl","contents__items__album__artists__type","contents__items__album__artists__id","contents__items__album__artists__name","contents__items__album__artists__shareUrl","contents__items__album__cover__url","contents__items__album__cover__width","contents__items__album__cover__height","contents__items__playlist__addedAt","contents__items__playlist__addedBy"
"True","50","track","01qFKNWq73UfEslI0GvumE","3D (feat. Jack Harlow)","https://open.spotify.com/track/01qFKNWq73UfEslI0GvumE","201812","03:21","1","1","30569756","artist","6HaGTQPmzraVmaVxvz6EUc","Jung Kook","https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc","album","0fJ0beklzFwoBv01U8792s","3D : The Remixes","https://open.spotify.com/album/0fJ0beklzFwoBv01U8792s","artist","6HaGTQPmzraVmaVxvz6EUc","Jung Kook","https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc","https://i.scdn.co/image/ab67616d00001e0299583bb32b47e87d55c6064b","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","artist","2LIk90788K0zvyj2JJVwkJ","Jack Harlow","https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ","","","","","artist","2LIk90788K0zvyj2JJVwkJ","Jack Harlow","https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ","https://i.scdn.co/image/ab67616d0000485199583bb32b47e87d55c6064b","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b27399583bb32b47e87d55c6064b","640","640","",""
"","","track","7x9aauaA9cu6tyfpHnqDLo","Seven (feat. Latto) (Explicit Ver.)","https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo","184400","03:04","1","2","825957263","artist","6HaGTQPmzraVmaVxvz6EUc","Jung Kook","https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc","album","53985D8g3JcGBoULSOYYKX","Seven (feat. Latto)","https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX","artist","6HaGTQPmzraVmaVxvz6EUc","Jung Kook","https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc","https://i.scdn.co/image/ab67616d00001e02bf5cce5a0e1ed03a626bdd74","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","artist","3MdXrJWsbVzdn6fe5JYkSQ","Latto","https://open.spotify.com/artist/3MdXrJWsbVzdn6fe5JYkSQ","","","","","artist","3MdXrJWsbVzdn6fe5JYkSQ","Latto","https://open.spotify.com/artist/3MdXrJWsbVzdn6fe5JYkSQ","https://i.scdn.co/image/ab67616d00004851bf5cce5a0e1ed03a626bdd74","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74","640","640","",""
"","","track","56y1jOTK0XSvJzVv9vHQBK","Paint The Town Red","https://open.spotify.com/track/56y1jOTK0XSvJzVv9vHQBK","230480","03:50","1","1","356592711","artist","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5","album","1bBez9PNvkJPW08bU7NYta","Scarlet","https://open.spotify.com/album/1bBez9PNvkJPW08bU7NYta","artist","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5","https://i.scdn.co/image/ab67616d00001e02a840032f14ab22da396e43cb","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d00004851a840032f14ab22da396e43cb","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b273a840032f14ab22da396e43cb","640","640","",""
"","","track","3rUGC1vUpkDG9CZFHMur1t","greedy","https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t","131872","02:11","1","1","74959220","artist","45dkTj5sMRSjrmBSBeiHym","Tate McRae","https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym","album","3UOV8XvCwMKaATRNXrYCjN","greedy","https://open.spotify.com/album/3UOV8XvCwMKaATRNXrYCjN","artist","45dkTj5sMRSjrmBSBeiHym","Tate McRae","https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym","https://i.scdn.co/image/ab67616d00001e0222fd802bc61db666c7c81aa8","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000485122fd802bc61db666c7c81aa8","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8","640","640","",""
"","","track","5mjYQaktjmjcMKcUIcqz4s","Strangers","https://open.spotify.com/track/5mjYQaktjmjcMKcUIcqz4s","172964","02:52","1","1","110198354","artist","7uMDnSZyUYNBPLhPMNuaM2","Kenya Grace","https://open.spotify.com/artist/7uMDnSZyUYNBPLhPMNuaM2","album","18ogtNq9F7DmMkNYO6Xb4k","Strangers","https://open.spotify.com/album/18ogtNq9F7DmMkNYO6Xb4k","artist","7uMDnSZyUYNBPLhPMNuaM2","Kenya Grace","https://open.spotify.com/artist/7uMDnSZyUYNBPLhPMNuaM2","https://i.scdn.co/image/ab67616d00001e024756c2e9ae436437cd75e9f3","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d000048514756c2e9ae436437cd75e9f3","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3","640","640","",""
